01010101010e9e25 1 | 0000000001e792
010101010102fea7 1 | 00000000007fd3
01010101010b922f 1 | 00000000016497
010101010101583b 1 | 0000000000161d
010101010108e50d 1 | 00000000013906
01010101010254fb 1 | 0000000000557d
01010101010740d6 1 | 0000000000d06b
010101010102c48c 1 | 00000000007146
010101010108403e 1 | 0000000001101f
0101010101041694 1 | 000000000085ca
010101010102bc6d 1 | 00000000006f36
010101010101c279 1 | 000000000030bc
010101010107ab3d 1 | 0000000000ea9e
010101010104e3f8 1 | 0000000000b8fc
010101010107ab89 1 | 0000000000eac4
01010101010e3b08 1 | 0000000001ce84
0101010101042f9b 1 | 00000000008bcd
01010101010b6b26 1 | 00000000015a93
01010101010da749 1 | 0000000001a9a4
010101010101a2d9 1 | 000000000028ec
010101010104f1d9 1 | 0000000000bc6c
01010101010eb0c7 1 | 0000000001ec63
010101010101d51c 1 | 0000000000350e
01010101010826b6 1 | 000000000109db
01010101010dd9ab 1 | 0000000001b655
0101010101020b3e 1 | 0000000000429f
01010101010df831 1 | 0000000001be18
01010101010da1fb 1 | 0000000001a87d
01010101010be3bc 1 | 000000000178de
01010101010132f4 1 | 00000000000cfa
010101010107264a 1 | 0000000000c9a5
01010101010bf262 1 | 00000000017cb1
0101010101025b32 1 | 00000000005699
010101010104aece 1 | 0000000000abe7
010101010101161f 1 | 0000000000058f
0101010101084c9e 1 | 0000000001134f
