Oklahoma State University
ECEN 3233, Fall 2021
Digital Logic Design
Simplified Digital Encryption Standard (DES)

(Key) (Plaintext) (K1) (K2) (sbox0_K0) (sbox1_K0) (sbox0_K1) (sbox1_K1) (Ciphertext)
1000101011 00010101 11100010 00011011 0000 0001 0011 0001 10000000
0101111001 01111101 01010011 00111100 0000 0000 0011 0010 10011101
1100110100 10010010 10001001 10110101 0011 0000 0010 0010 01110000
0010010110 01000100 00101101 11100010 0000 0000 0000 0001 00010101
0110100101 01101000 00001110 11011100 0011 0000 0011 0000 11101010
0011001001 10111000 01010110 01001000 0001 0000 0011 0011 10011110
0001001001 01101110 01010010 00001000 0001 0010 0000 0000 10100001
0100011111 01100110 01101011 10101110 0011 0010 0001 0010 11100011
1011111110 11111011 11111101 11110011 0001 0001 0011 0000 00101111
1110011000 00110011 11000101 01100101 0000 0000 0000 0010 11101100
0010110010 10001110 00100101 01110010 0001 0000 0011 0010 01010011
1011010111 10101110 10111111 11101011 0000 0010 0011 0010 01000011
1010110111 00101001 10101111 11111011 0011 0000 0000 0001 00111010
1001010010 01000001 10110001 00100011 0011 0010 0001 0001 01001010
0001111011 01111000 01110011 00111010 0000 0011 0001 0000 00110001
1111000010 01001110 10110100 01000111 0000 0001 0001 0011 11010100
0001111110 01001100 01111001 10110010 0010 0000 0001 0010 01010011
0101111110 11000010 01111001 10110110 0010 0001 0011 0011 01110101
0100011010 00010100 01100001 00100110 0000 0000 0001 0000 00000001
1001110001 11110011 10010011 00111001 0000 0011 0011 0001 00010011
1011001001 11111000 11010110 01001001 0000 0000 0011 0000 10111010
1100110101 11001100 10001011 10111101 0011 0011 0010 0010 10001000
1010011011 10110010 11100111 01101011 0000 0010 0011 0010 00100010
0110000011 10111110 00100110 01001110 0010 0010 0010 0011 01000101
0101101011 01010111 01110010 00011110 0011 0010 0010 0000 01001111
1100101001 01111000 11000010 00011101 0011 0011 0001 0011 00000111
1010101001 00000100 11000110 01011001 0001 0011 0001 0001 01011100
0100111010 11001000 01100001 00110110 0000 0001 0011 0000 11110011
1111110010 01100010 10110101 01110111 0010 0011 0011 0001 01010111
0100101001 00101111 01000010 00011100 0010 0001 0000 0000 10101110
0010100010 00011011 00100100 01010010 0011 0001 0001 0010 10010111
0010101001 10010101 01000110 01011000 0000 0011 0001 0000 00001110
1000010010 01111000 10100001 00100011 0010 0010 0011 0000 10110010
1101000011 00001111 10110010 00001111 0001 0001 0011 0000 01110100
0101010000 01011011 00010001 00100100 0011 0000 0010 0011 01000010
0111100011 00111101 00110110 01011110 0011 0001 0000 0010 01011110
1011111101 01100000 11011111 11111001 0011 0011 0001 0000 01000011
0001000011 00011011 00110010 00001010 0001 0000 0011 0001 00110000
1110011010 10000010 11100101 01100111 0010 0011 0001 0001 11001101
1010101110 00100111 11101100 11010011 0011 0011 0011 0000 01010110
0000010010 10101010 00100001 00100010 0001 0011 0001 0010 11010011
0011001010 00000000 01110100 01000010 0000 0010 0001 0011 01101100
0100110110 00101110 00101001 10110110 0001 0011 0010 0011 00010100
0101001001 01111001 01010010 00001100 0000 0011 0010 0001 11110001
0001010011 01010010 00110011 00101010 0010 0000 0011 0010 00110010
